GEO_OBJECT,TIME_PERIOD,OBS_VALUE,code
DEP,2012,4579,01
DEP,2013,4595,01
DEP,2014,4916,01
DEP,2015,4435,01
DEP,2016,4848,01
DEP,2017,5052,01
DEP,2018,5750,01
DEP,2019,7084,01
DEP,2020,7253,01
DEP,2021,8164,01
DEP,2022,8417,01
DEP,2023,8311,01
DEP,2024,9188,01
REG,2012,5012,01
REG,2013,4489,01
REG,2014,4223,01
REG,2015,4263,01
REG,2016,4220,01
REG,2017,4521,01
REG,2018,5592,01
REG,2019,5859,01
REG,2020,5605,01
REG,2021,6751,01
REG,2022,7849,01
REG,2023,8058,01
REG,2024,8178,01
DEP,2012,2916,02
DEP,2013,2888,02
DEP,2014,2754,02
DEP,2015,2640,02
DEP,2016,2687,02
DEP,2017,3038,02
DEP,2018,3173,02
DEP,2019,3572,02
DEP,2020,3753,02
DEP,2021,4525,02
DEP,2022,4422,02
DEP,2023,4613,02
DEP,2024,5000,02
REG,2012,4918,02
REG,2013,5046,02
REG,2014,4475,02
REG,2015,4407,02
REG,2016,4704,02
REG,2017,5067,02
REG,2018,5451,02
REG,2019,5555,02
REG,2020,5822,02
REG,2021,8024,02
REG,2022,9396,02
REG,2023,8956,02
REG,2024,7317,02
DEP,2012,2077,03
DEP,2013,2142,03
DEP,2014,2081,03
DEP,2015,1933,03
DEP,2016,1894,03
DEP,2017,2020,03
DEP,2018,2096,03
DEP,2019,2375,03
DEP,2020,2533,03
DEP,2021,3151,03
DEP,2022,3355,03
DEP,2023,3403,03
DEP,2024,3484,03
REG,2012,2259,03
REG,2013,1970,03
REG,2014,2059,03
REG,2015,1748,03
REG,2016,1570,03
REG,2017,1495,03
REG,2018,1918,03
REG,2019,1960,03
REG,2020,2010,03
REG,2021,2952,03
REG,2022,3087,03
REG,2023,3343,03
REG,2024,3540,03
DEP,2012,1713,04
DEP,2013,1638,04
DEP,2014,1671,04
DEP,2015,1632,04
DEP,2016,1524,04
DEP,2017,1590,04
DEP,2018,1751,04
DEP,2019,2064,04
DEP,2020,2014,04
DEP,2021,2498,04
DEP,2022,2629,04
DEP,2023,2505,04
DEP,2024,2486,04
REG,2012,7230,04
REG,2013,6950,04
REG,2014,6819,04
REG,2015,6606,04
REG,2016,6930,04
REG,2017,7384,04
REG,2018,7795,04
REG,2019,8264,04
REG,2020,9483,04
REG,2021,11390,04
REG,2022,12044,04
REG,2023,12290,04
REG,2024,13097,04
DEP,2012,1530,05
DEP,2013,1568,05
DEP,2014,1569,05
DEP,2015,1454,05
DEP,2016,1454,05
DEP,2017,1517,05
DEP,2018,1683,05
DEP,2019,1896,05
DEP,2020,1911,05
DEP,2021,2242,05
DEP,2022,2484,05
DEP,2023,2224,05
DEP,2024,2219,05
DEP,2012,16969,06
DEP,2013,15992,06
DEP,2014,15776,06
DEP,2015,15483,06
DEP,2016,16105,06
DEP,2017,16818,06
DEP,2018,19049,06
DEP,2019,21608,06
DEP,2020,22544,06
DEP,2021,26771,06
DEP,2022,28273,06
DEP,2023,26816,06
DEP,2024,27199,06
REG,2012,896,06
REG,2013,822,06
REG,2014,871,06
REG,2015,841,06
REG,2016,813,06
REG,2017,957,06
REG,2018,768,06
REG,2019,1017,06
REG,2020,1353,06
REG,2021,1802,06
REG,2022,1762,06
REG,2023,1749,06
REG,2024,1519,06
DEP,2012,2696,07
DEP,2013,2694,07
DEP,2014,2820,07
DEP,2015,2521,07
DEP,2016,2581,07
DEP,2017,2704,07
DEP,2018,2977,07
DEP,2019,3321,07
DEP,2020,3387,07
DEP,2021,4080,07
DEP,2022,4342,07
DEP,2023,4028,07
DEP,2024,4263,07
DEP,2012,1580,08
DEP,2013,1836,08
DEP,2014,1698,08
DEP,2015,1360,08
DEP,2016,1514,08
DEP,2017,1679,08
DEP,2018,1640,08
DEP,2019,1921,08
DEP,2020,2096,08
DEP,2021,2354,08
DEP,2022,2533,08
DEP,2023,2560,08
DEP,2024,2695,08
DEP,2012,1503,09
DEP,2013,1404,09
DEP,2014,1468,09
DEP,2015,1245,09
DEP,2016,1249,09
DEP,2017,1364,09
DEP,2018,1517,09
DEP,2019,1663,09
DEP,2020,1778,09
DEP,2021,2059,09
DEP,2022,2074,09
DEP,2023,2065,09
DEP,2024,2073,09
DEP,2012,1954,10
DEP,2013,1936,10
DEP,2014,2048,10
DEP,2015,1730,10
DEP,2016,1778,10
DEP,2017,1953,10
DEP,2018,2374,10
DEP,2019,2708,10
DEP,2020,2975,10
DEP,2021,3623,10
DEP,2022,3559,10
DEP,2023,3551,10
DEP,2024,3471,10
DEP,2012,3523,11
DEP,2013,3528,11
DEP,2014,3433,11
DEP,2015,3278,11
DEP,2016,3429,11
DEP,2017,3481,11
DEP,2018,3740,11
DEP,2019,4285,11
DEP,2020,4266,11
DEP,2021,5087,11
DEP,2022,5394,11
DEP,2023,5176,11
DEP,2024,5652,11
REG,2012,133095,11
REG,2013,133653,11
REG,2014,142315,11
REG,2015,145628,11
REG,2016,165621,11
REG,2017,184150,11
REG,2018,215995,11
REG,2019,246394,11
REG,2020,255208,11
REG,2021,281623,11
REG,2022,288872,11
REG,2023,295726,11
REG,2024,312543,11
DEP,2012,1913,12
DEP,2013,1858,12
DEP,2014,1888,12
DEP,2015,1695,12
DEP,2016,1806,12
DEP,2017,1875,12
DEP,2018,2051,12
DEP,2019,2414,12
DEP,2020,2647,12
DEP,2021,3074,12
DEP,2022,3219,12
DEP,2023,3360,12
DEP,2024,3288,12
DEP,2012,22307,13
DEP,2013,21881,13
DEP,2014,21508,13
DEP,2015,20970,13
DEP,2016,22190,13
DEP,2017,24407,13
DEP,2018,28923,13
DEP,2019,33354,13
DEP,2020,34370,13
DEP,2021,44107,13
DEP,2022,45496,13
DEP,2023,40632,13
DEP,2024,41785,13
DEP,2012,5249,14
DEP,2013,5015,14
DEP,2014,5223,14
DEP,2015,4861,14
DEP,2016,4960,14
DEP,2017,5414,14
DEP,2018,6287,14
DEP,2019,7554,14
DEP,2020,7814,14
DEP,2021,9244,14
DEP,2022,8602,14
DEP,2023,8646,14
DEP,2024,8946,14
DEP,2012,773,15
DEP,2013,739,15
DEP,2014,782,15
DEP,2015,778,15
DEP,2016,718,15
DEP,2017,751,15
DEP,2018,819,15
DEP,2019,900,15
DEP,2020,945,15
DEP,2021,1167,15
DEP,2022,1266,15
DEP,2023,1187,15
DEP,2024,1391,15
DEP,2012,2409,16
DEP,2013,2551,16
DEP,2014,2467,16
DEP,2015,2300,16
DEP,2016,2184,16
DEP,2017,2512,16
DEP,2018,2777,16
DEP,2019,3181,16
DEP,2020,3470,16
DEP,2021,3939,16
DEP,2022,3870,16
DEP,2023,4090,16
DEP,2024,4184,16
DEP,2012,5902,17
DEP,2013,5780,17
DEP,2014,5865,17
DEP,2015,5635,17
DEP,2016,5589,17
DEP,2017,6158,17
DEP,2018,6923,17
DEP,2019,7893,17
DEP,2020,8138,17
DEP,2021,9465,17
DEP,2022,9425,17
DEP,2023,8953,17
DEP,2024,9496,17
DEP,2012,1789,18
DEP,2013,1752,18
DEP,2014,1828,18
DEP,2015,1627,18
DEP,2016,1618,18
DEP,2017,1648,18
DEP,2018,1813,18
DEP,2019,2182,18
DEP,2020,2503,18
DEP,2021,3118,18
DEP,2022,2944,18
DEP,2023,2974,18
DEP,2024,2962,18
DEP,2012,1575,19
DEP,2013,1584,19
DEP,2014,1557,19
DEP,2015,1475,19
DEP,2016,1444,19
DEP,2017,1643,19
DEP,2018,1825,19
DEP,2019,2077,19
DEP,2020,2115,19
DEP,2021,2624,19
DEP,2022,2587,19
DEP,2023,2579,19
DEP,2024,2757,19
DEP,2012,3895,21
DEP,2013,3890,21
DEP,2014,4137,21
DEP,2015,3954,21
DEP,2016,3947,21
DEP,2017,4423,21
DEP,2018,5039,21
DEP,2019,5946,21
DEP,2020,6256,21
DEP,2021,7141,21
DEP,2022,6758,21
DEP,2023,6788,21
DEP,2024,7288,21
DEP,2012,3760,22
DEP,2013,3601,22
DEP,2014,3755,22
DEP,2015,3734,22
DEP,2016,3673,22
DEP,2017,3963,22
DEP,2018,4400,22
DEP,2019,4808,22
DEP,2020,4745,22
DEP,2021,6032,22
DEP,2022,6416,22
DEP,2023,6533,22
DEP,2024,7095,22
DEP,2012,786,23
DEP,2013,741,23
DEP,2014,748,23
DEP,2015,632,23
DEP,2016,623,23
DEP,2017,702,23
DEP,2018,692,23
DEP,2019,812,23
DEP,2020,859,23
DEP,2021,985,23
DEP,2022,1015,23
DEP,2023,1093,23
DEP,2024,1122,23
DEP,2012,3411,24
DEP,2013,3413,24
DEP,2014,3448,24
DEP,2015,3287,24
DEP,2016,3354,24
DEP,2017,3606,24
DEP,2018,3715,24
DEP,2019,4533,24
DEP,2020,4671,24
DEP,2021,5350,24
DEP,2022,5293,24
DEP,2023,5386,24
DEP,2024,5265,24
REG,2012,16720,24
REG,2013,16544,24
REG,2014,16977,24
REG,2015,16054,24
REG,2016,16564,24
REG,2017,17551,24
REG,2018,20074,24
REG,2019,23057,24
REG,2020,24540,24
REG,2021,29780,24
REG,2022,29798,24
REG,2023,29560,24
REG,2024,31211,24
DEP,2012,3554,25
DEP,2013,3735,25
DEP,2014,3722,25
DEP,2015,3482,25
DEP,2016,3808,25
DEP,2017,3866,25
DEP,2018,4400,25
DEP,2019,4998,25
DEP,2020,5518,25
DEP,2021,6297,25
DEP,2022,6140,25
DEP,2023,6172,25
DEP,2024,6683,25
DEP,2012,4861,26
DEP,2013,4721,26
DEP,2014,4976,26
DEP,2015,4734,26
DEP,2016,4795,26
DEP,2017,4985,26
DEP,2018,5424,26
DEP,2019,6352,26
DEP,2020,6615,26
DEP,2021,7568,26
DEP,2022,7427,26
DEP,2023,7395,26
DEP,2024,7692,26
DEP,2012,3875,27
DEP,2013,3716,27
DEP,2014,4046,27
DEP,2015,3680,27
DEP,2016,3936,27
DEP,2017,4117,27
DEP,2018,4583,27
DEP,2019,5240,27
DEP,2020,5516,27
DEP,2021,6369,27
DEP,2022,6626,27
DEP,2023,6758,27
DEP,2024,6936,27
REG,2012,18448,27
REG,2013,18782,27
REG,2014,18953,27
REG,2015,17750,27
REG,2016,18393,27
REG,2017,19814,27
REG,2018,21893,27
REG,2019,25259,27
REG,2020,27278,27
REG,2021,31472,27
REG,2022,30749,27
REG,2023,31209,27
REG,2024,33291,27
DEP,2012,2707,28
DEP,2013,2724,28
DEP,2014,2842,28
DEP,2015,2569,28
DEP,2016,2718,28
DEP,2017,2913,28
DEP,2018,3207,28
DEP,2019,3771,28
DEP,2020,4043,28
DEP,2021,4839,28
DEP,2022,4905,28
DEP,2023,4975,28
DEP,2024,5182,28
REG,2012,19991,28
REG,2013,19594,28
REG,2014,20720,28
REG,2015,19208,28
REG,2016,20256,28
REG,2017,21810,28
REG,2018,25178,28
REG,2019,29058,28
REG,2020,31399,28
REG,2021,36531,28
REG,2022,35492,28
REG,2023,35648,28
REG,2024,37356,28
DEP,2012,5412,29
DEP,2013,5374,29
DEP,2014,5655,29
DEP,2015,5579,29
DEP,2016,5520,29
DEP,2017,5869,29
DEP,2018,6347,29
DEP,2019,7453,29
DEP,2020,7504,29
DEP,2021,9469,29
DEP,2022,9302,29
DEP,2023,9368,29
DEP,2024,10063,29
DEP,2012,1972,2A
DEP,2013,1934,2A
DEP,2014,1958,2A
DEP,2015,1945,2A
DEP,2016,1950,2A
DEP,2017,2121,2A
DEP,2018,2306,2A
DEP,2019,2734,2A
DEP,2020,2572,2A
DEP,2021,2925,2A
DEP,2022,3226,2A
DEP,2023,3203,2A
DEP,2024,3380,2A
DEP,2012,2044,2B
DEP,2013,1975,2B
DEP,2014,2027,2B
DEP,2015,1851,2B
DEP,2016,2067,2B
DEP,2017,2158,2B
DEP,2018,2304,2B
DEP,2019,2491,2B
DEP,2020,2373,2B
DEP,2021,2889,2B
DEP,2022,2861,2B
DEP,2023,2986,2B
DEP,2024,3142,2B
DEP,2012,7633,30
DEP,2013,7167,30
DEP,2014,7377,30
DEP,2015,6960,30
DEP,2016,7180,30
DEP,2017,7182,30
DEP,2018,8089,30
DEP,2019,9361,30
DEP,2020,9430,30
DEP,2021,11591,30
DEP,2022,11675,30
DEP,2023,12064,30
DEP,2024,12384,30
DEP,2012,13031,31
DEP,2013,12828,31
DEP,2014,13572,31
DEP,2015,12963,31
DEP,2016,14202,31
DEP,2017,15853,31
DEP,2018,18578,31
DEP,2019,22621,31
DEP,2020,23446,31
DEP,2021,26848,31
DEP,2022,25199,31
DEP,2023,24977,31
DEP,2024,28157,31
DEP,2012,1565,32
DEP,2013,1480,32
DEP,2014,1621,32
DEP,2015,1502,32
DEP,2016,1605,32
DEP,2017,1482,32
DEP,2018,1707,32
DEP,2019,1881,32
DEP,2020,2051,32
DEP,2021,2499,32
DEP,2022,2434,32
DEP,2023,2421,32
DEP,2024,2433,32
REG,2012,35892,32
REG,2013,35500,32
REG,2014,36298,32
REG,2015,34616,32
REG,2016,36383,32
REG,2017,39252,32
REG,2018,44867,32
REG,2019,53518,32
REG,2020,56596,32
REG,2021,67335,32
REG,2022,65908,32
REG,2023,64870,32
REG,2024,69913,32
DEP,2012,15991,33
DEP,2013,17277,33
DEP,2014,17832,33
DEP,2015,17764,33
DEP,2016,18839,33
DEP,2017,21562,33
DEP,2018,24708,33
DEP,2019,27400,33
DEP,2020,27263,33
DEP,2021,33076,33
DEP,2022,32877,33
DEP,2023,31655,33
DEP,2024,35094,33
DEP,2012,14117,34
DEP,2013,13805,34
DEP,2014,14107,34
DEP,2015,13758,34
DEP,2016,14308,34
DEP,2017,15502,34
DEP,2018,16754,34
DEP,2019,19609,34
DEP,2020,20257,34
DEP,2021,24150,34
DEP,2022,23697,34
DEP,2023,24039,34
DEP,2024,25073,34
DEP,2012,6902,35
DEP,2013,7287,35
DEP,2014,7449,35
DEP,2015,7077,35
DEP,2016,7673,35
DEP,2017,8295,35
DEP,2018,9589,35
DEP,2019,11021,35
DEP,2020,11513,35
DEP,2021,14135,35
DEP,2022,14477,35
DEP,2023,14003,35
DEP,2024,15068,35
DEP,2012,1301,36
DEP,2013,1132,36
DEP,2014,1264,36
DEP,2015,1163,36
DEP,2016,1167,36
DEP,2017,1221,36
DEP,2018,1294,36
DEP,2019,1482,36
DEP,2020,1616,36
DEP,2021,1976,36
DEP,2022,1923,36
DEP,2023,1928,36
DEP,2024,2038,36
DEP,2012,4380,37
DEP,2013,4262,37
DEP,2014,4411,37
DEP,2015,4155,37
DEP,2016,4310,37
DEP,2017,4809,37
DEP,2018,5668,37
DEP,2019,6460,37
DEP,2020,6706,37
DEP,2021,8368,37
DEP,2022,8165,37
DEP,2023,7787,37
DEP,2024,8200,37
DEP,2012,10899,38
DEP,2013,11247,38
DEP,2014,11620,38
DEP,2015,10733,38
DEP,2016,11170,38
DEP,2017,12310,38
DEP,2018,13916,38
DEP,2019,16612,38
DEP,2020,16928,38
DEP,2021,19282,38
DEP,2022,19361,38
DEP,2023,18655,38
DEP,2024,19999,38
DEP,2012,1860,39
DEP,2013,1826,39
DEP,2014,1738,39
DEP,2015,1602,39
DEP,2016,1695,39
DEP,2017,1862,39
DEP,2018,2096,39
DEP,2019,2284,39
DEP,2020,2422,39
DEP,2021,2764,39
DEP,2022,2781,39
DEP,2023,2857,39
DEP,2024,2999,39
DEP,2012,3543,40
DEP,2013,3597,40
DEP,2014,3724,40
DEP,2015,3525,40
DEP,2016,3762,40
DEP,2017,3896,40
DEP,2018,4337,40
DEP,2019,5318,40
DEP,2020,5263,40
DEP,2021,6257,40
DEP,2022,6353,40
DEP,2023,6353,40
DEP,2024,6676,40
DEP,2012,2109,41
DEP,2013,2065,41
DEP,2014,2024,41
DEP,2015,2100,41
DEP,2016,2151,41
DEP,2017,2211,41
DEP,2018,2393,41
DEP,2019,2793,41
DEP,2020,2949,41
DEP,2021,3356,41
DEP,2022,3585,41
DEP,2023,3559,41
DEP,2024,3645,41
DEP,2012,5534,42
DEP,2013,5547,42
DEP,2014,5691,42
DEP,2015,5342,42
DEP,2016,5481,42
DEP,2017,5956,42
DEP,2018,6733,42
DEP,2019,8234,42
DEP,2020,8932,42
DEP,2021,10161,42
DEP,2022,10155,42
DEP,2023,9796,42
DEP,2024,10644,42
DEP,2012,1399,43
DEP,2013,1471,43
DEP,2014,1417,43
DEP,2015,1374,43
DEP,2016,1296,43
DEP,2017,1451,43
DEP,2018,1561,43
DEP,2019,1794,43
DEP,2020,1928,43
DEP,2021,2309,43
DEP,2022,2537,43
DEP,2023,2472,43
DEP,2024,2611,43
DEP,2012,10855,44
DEP,2013,10584,44
DEP,2014,11485,44
DEP,2015,11097,44
DEP,2016,11862,44
DEP,2017,13097,44
DEP,2018,13958,44
DEP,2019,16555,44
DEP,2020,17159,44
DEP,2021,21105,44
DEP,2022,20606,44
DEP,2023,19621,44
DEP,2024,20350,44
REG,2012,36364,44
REG,2013,37848,44
REG,2014,37673,44
REG,2015,33719,44
REG,2016,35938,44
REG,2017,38647,44
REG,2018,42882,44
REG,2019,49283,44
REG,2020,53161,44
REG,2021,64737,44
REG,2022,63710,44
REG,2023,62922,44
REG,2024,67017,44
DEP,2012,4434,45
DEP,2013,4609,45
DEP,2014,4608,45
DEP,2015,4440,45
DEP,2016,4600,45
DEP,2017,4749,45
DEP,2018,5699,45
DEP,2019,6369,45
DEP,2020,6723,45
DEP,2021,8123,45
DEP,2022,8276,45
DEP,2023,8337,45
DEP,2024,9184,45
DEP,2012,1402,46
DEP,2013,1338,46
DEP,2014,1433,46
DEP,2015,1285,46
DEP,2016,1345,46
DEP,2017,1333,46
DEP,2018,1543,46
DEP,2019,1707,46
DEP,2020,1811,46
DEP,2021,2115,46
DEP,2022,2117,46
DEP,2023,2000,46
DEP,2024,2160,46
DEP,2012,2463,47
DEP,2013,2530,47
DEP,2014,2421,47
DEP,2015,2279,47
DEP,2016,2386,47
DEP,2017,2543,47
DEP,2018,2755,47
DEP,2019,3275,47
DEP,2020,3390,47
DEP,2021,4044,47
DEP,2022,4179,47
DEP,2023,4060,47
DEP,2024,4151,47
DEP,2012,504,48
DEP,2013,446,48
DEP,2014,522,48
DEP,2015,460,48
DEP,2016,413,48
DEP,2017,486,48
DEP,2018,494,48
DEP,2019,519,48
DEP,2020,579,48
DEP,2021,777,48
DEP,2022,721,48
DEP,2023,773,48
DEP,2024,777,48
DEP,2012,4998,49
DEP,2013,5013,49
DEP,2014,5154,49
DEP,2015,5067,49
